SAVED BY: JJ
TITLE: 
COMMENTS: 
DATE: 2/24/2020
TIME: 8:13 PM

STIMULUS, RESPONSE

1.000000E+8,  -1.132751E+0
1.005625E+8,  -1.187134E+0
1.011250E+8,  -1.202209E+0
1.016875E+8,  -1.112854E+0
1.022500E+8,  -1.094971E+0
1.028125E+8,  -1.035278E+0
1.033750E+8,  -1.100159E+0
1.039375E+8,  -9.822083E-1
1.045000E+8,  -1.007263E+0
1.050625E+8,  -1.025940E+0
1.056250E+8,  -1.002319E+0
1.061875E+8,  -9.634705E-1
1.067500E+8,  -9.489441E-1
1.073125E+8,  -9.338379E-1
1.078750E+8,  -8.789978E-1
1.084375E+8,  -9.123840E-1
1.090000E+8,  -8.767395E-1
1.095625E+8,  -8.790588E-1
1.101250E+8,  -8.260803E-1
1.106875E+8,  -7.494812E-1
1.112500E+8,  -7.567749E-1
1.118125E+8,  -7.314148E-1
1.123750E+8,  -7.619019E-1
1.129375E+8,  -7.071533E-1
1.135000E+8,  -6.984863E-1
1.140625E+8,  -7.214966E-1
1.146250E+8,  -6.321411E-1
1.151875E+8,  -6.458740E-1
1.157500E+8,  -6.633301E-1
1.163125E+8,  -6.293640E-1
1.168750E+8,  -6.639709E-1
1.174375E+8,  -7.095032E-1
1.180000E+8,  -6.312866E-1
1.185625E+8,  -6.090393E-1
1.191250E+8,  -6.883850E-1
1.196875E+8,  -6.030273E-1
1.202500E+8,  -6.718750E-1
1.208125E+8,  -5.946350E-1
1.213750E+8,  -5.597534E-1
1.219375E+8,  -6.327515E-1
1.225000E+8,  -5.992126E-1
1.230625E+8,  -6.042175E-1
1.236250E+8,  -6.237793E-1
1.241875E+8,  -5.554810E-1
1.247500E+8,  -5.807495E-1
1.253125E+8,  -5.105591E-1
1.258750E+8,  -5.790100E-1
1.264375E+8,  -5.531616E-1
1.270000E+8,  -4.996796E-1
1.275625E+8,  -4.875031E-1
1.281250E+8,  -4.861298E-1
1.286875E+8,  -4.924164E-1
1.292500E+8,  -5.451965E-1
1.298125E+8,  -5.450134E-1
1.303750E+8,  -5.154419E-1
1.309375E+8,  -5.169373E-1
1.315000E+8,  -4.566803E-1
1.320625E+8,  -4.975128E-1
1.326250E+8,  -4.534607E-1
1.331875E+8,  -4.206696E-1
