FFT Dimension (GHz),Re( Z ) (ohm),Im( Z ) (ohm)
0,-0.00821127743,0
0.000123334094,-0.00821013656,0.0267618615
0.000246668188,-0.00819952693,0.0535223596
0.000370002281,-0.00818442833,0.0802816674
0.000493336375,-0.00816586427,0.10704305
0.0006166705,-0.00813853927,0.133803412
0.000740004563,-0.00810689107,0.160563499
0.000863338688,-0.0080673648,0.187324047
0.00098667275,-0.00802337378,0.214082539
0.00111000688,-0.00797464792,0.240840673
0.001233341,-0.00791844632,0.267599106
0.00135667513,-0.00785584934,0.294355154
0.00148000913,-0.00778921042,0.32111159
0.00160334325,-0.00771627948,0.347867906
0.00172667738,-0.00763581693,0.374621421
0.0018500115,-0.00755186845,0.401376843
0.0019733455,-0.00746171363,0.428129256
0.00209667963,-0.00736454595,0.45487991
0.00222001375,-0.00726424484,0.481629819
0.00234334775,-0.00715564983,0.508378625
0.002466682,-0.00704255886,0.535125732
0.002590016,-0.00692436332,0.561873496
0.00271335025,-0.0068002101,0.588616848
0.00283668425,-0.00666857138,0.615360796
0.00296001825,-0.00653247815,0.642102957
0.0030833525,-0.00639193226,0.668842256
0.0032066865,-0.00624416256,0.695579886
0.00333002075,-0.00609215489,0.722316802
0.00345335475,-0.00593554555,0.749050975
0.00357668875,-0.00577144371,0.775782406
0.003700023,-0.00560438819,0.802514553
0.003823357,-0.00542929769,0.829242051
0.003946691,-0.00525197573,0.855968595
0.00407002525,-0.00506650424,0.882692456
0.00419335925,-0.00487792538,0.909414887
0.0043166935,-0.00468334835,0.936134398
0.0044400275,-0.004483575,0.962851763
0.0045633615,-0.00427816669,0.989565969
0.0046866955,-0.00407002587,1.01627922
0.00481003,-0.00385466125,1.04298961
0.004933364,-0.00363550615,1.06969643
0.005056698,-0.00340944016,1.09640002
0.005180032,-0.00318096834,1.12310219
0.005303366,-0.00294628344,1.14980161
0.0054267005,-0.00270770653,1.17649674
0.0055500345,-0.00246409955,1.20319128
0.0056733685,-0.0022164206,1.22988129
0.0057967025,-0.00196186872,1.25656867
0.0059200365,-0.00170483813,1.28325319
0.006043371,-0.00144342845,1.30993366
0.006166705,-0.0011782134,1.33661246
0.006290039,-0.000907193637,1.3632865
0.006413373,-0.000632328505,1.38995934
0.006536707,-0.000354102085,1.41662657
0.0066600415,-7.03278711e-05,1.44329178
0.0067833755,0.000216670669,1.46995389
