FFT Dimension (GHz),Re( S11 ),Im( S11 )
0,-1.00032854,0
0.000123334094,-1.00032783,0.00107082585
0.000246668188,-1.00032568,0.00214159396
0.000370002281,-1.00032234,0.00321231037
0.000493336375,-1.00031757,0.00428310176
0.0006166705,-1.00031126,0.005353841
0.000740004563,-1.00030375,0.00642455695
0.000863338688,-1.00029457,0.00749527477
0.00098667275,-1.00028431,0.00856589153
0.00111000688,-1.00027251,0.0096364785
0.001233341,-1.00025952,0.0107070506
0.00135667513,-1.00024486,0.0117774997
0.00148000913,-1.00022912,0.0128479339
0.00160334325,-1.00021183,0.0139183393
0.00172667738,-1.00019324,0.0149885938
0.0018500115,-1.00017321,0.0160588864
0.0019733455,-1.00015187,0.0171290245
0.00209667963,-1.00012898,0.0181990489
0.00222001375,-1.0001049,0.0192690026
0.00234334775,-1.00007939,0.0203388687
0.002466682,-1.00005245,0.0214086045
0.002590016,-1.00002432,0.022478329
0.00271335025,-0.999994755,0.0235478152
0.00283668425,-0.999963701,0.0246172696
0.00296001825,-0.999931455,0.0256865956
0.0030833525,-0.999897778,0.0267557465
0.0032066865,-0.999862611,0.0278247632
0.00333002075,-0.999826372,0.0288936775
0.00345335475,-0.999788523,0.0299624261
0.00357668875,-0.999749362,0.031030992
0.003700023,-0.999708951,0.0320995077
0.003823357,-0.999667108,0.0331677608
0.003946691,-0.999624014,0.0342358984
0.00407002525,-0.99957937,0.0353038535
0.00419335925,-0.999533474,0.036371652
0.0043166935,-0.999486327,0.0374392681
0.0044400275,-0.999437809,0.0385066979
0.0045633615,-0.99938792,0.0395739041
0.0046866955,-0.99933666,0.0406409912
0.00481003,-0.999284089,0.0417078584
0.004933364,-0.999230266,0.042774491
0.005056698,-0.999174893,0.0438409001
0.005180032,-0.999118507,0.0449071452
0.005303366,-0.999060571,0.0459731705
0.0054267005,-0.999001563,0.0470389239
0.0055500345,-0.998940945,0.0481045321
0.0056733685,-0.998879194,0.0491698645
0.0057967025,-0.998816013,0.0502349623
0.0059200365,-0.998751581,0.0512998216
0.006043371,-0.998685837,0.0523644164
0.006166705,-0.998618841,0.0534288287
0.006290039,-0.998550534,0.0544929206
0.006413373,-0.998480797,0.0555568449
0.006536707,-0.998409927,0.0566204041
0.0066600415,-0.998337746,0.0576837733
0.0067833755,-0.998264194,0.0587468632
0.0069067095,-0.99818939,0.0598096363
0.0070300435,-0.998113394,0.060872227
0.0071533775,-0.998036027,0.0619344488
0.0072767115,-0.997957468,0.0629964322
0.007400046,-0.997877598,0.0640581399
0.00752338,-0.997796476,0.0651195273
0.007646714,-0.997714102,0.066180639
0.007770048,-0.997630537,0.0672414526
0.007893382,-0.9975456,0.0683019236
0.0080167165,-0.997459412,0.0693621188
0.0081400505,-0.997372031,0.0704220235
0.0082633845,-0.997283399,0.0714815855
0.0083867185,-0.997193575,0.0725408569
0.008510053,-0.99710232,0.0735998675
0.008633387,-0.997010052,0.0746584684
0.008756721,-0.996916533,0.0757167861
0.008880055,-0.996821642,0.0767747313
0.009003389,-0.996725798,0.077832453
0.009126723,-0.996628404,0.0788897499
0.009250057,-0.996530116,0.0799467191
0.009373391,-0.996430397,0.0810034052
0.009496725,-0.996329606,0.0820596889
0.00962006,-0.996227682,0.0831156895
0.009743394,-0.996124327,0.0841713473
0.009866728,-0.9960199,0.0852265731
0.009990062,-0.99591428,0.0862814933
0.010113396,-0.995807528,0.0873361155
0.01023673,-0.995699704,0.0883903205
0.010360064,-0.995590568,0.0894441679
0.010483398,-0.995480359,0.0904976875
0.010606732,-0.995368838,0.0915507898
0.010730066,-0.995256186,0.0926035866
0.010853401,-0.9951424,0.0936560705
0.010976735,-0.995027542,0.0947080702
0.011100069,-0.994911492,0.095759742
0.011223403,-0.99479425,0.0968110561
0.011346737,-0.994675994,0.0978619903
0.011470071,-0.994556487,0.0989125967
0.011593405,-0.994435787,0.0999627784
0.011716739,-0.994314253,0.101012543
0.011840073,-0.994191408,0.102062017
0.011963407,-0.99406749,0.103111126
0.012086742,-0.993942499,0.104159825
0.012210076,-0.993816316,0.105208069
0.01233341,-0.99368912,0.106256008
0.012456744,-0.993560851,0.10730353
0.012580078,-0.993431389,0.108350679
0.012703412,-0.993300855,0.109397419
0.012826746,-0.993169367,0.110443838
0.01295008,-0.993036628,0.11148984
0.013073414,-0.992902875,0.112535402
0.013196748,-0.992768228,0.113580629
0.013320083,-0.99263227,0.114625469
0.013443417,-0.992495358,0.115669943
0.013566751,-0.992357373,0.116713956
0.013690085,-0.992218256,0.117757604
0.013813419,-0.992078185,0.118800886
0.013936753,-0.99193722,0.119843796
0.014060087,-0.991794884,0.120886274
0.014183421,-0.991651893,0.121928476
0.014306755,-0.991507649,0.122970127
0.014430089,-0.991362453,0.124011472
0.014553423,-0.991216242,0.125052437
0.014676758,-0.9910689,0.126092926
0.014800092,-0.990920663,0.127133131
0.014923426,-0.990771294,0.128172904
0.01504676,-0.99062109,0.129212335
0.015170094,-0.990469754,0.130251288
0.015293428,-0.990317583,0.131289884
0.015416762,-0.99016434,0.132328182
0.015540096,-0.990010083,0.133366078
0.01566343,-0.989854813,0.134403557
0.015786764,-0.989698589,0.135440588
0.015910099,-0.989541411,0.136477321
0.016033433,-0.989383399,0.137513682
0.016156767,-0.989224255,0.138549641
0.016280101,-0.989064336,0.139585167
0.016403435,-0.988903224,0.140620396
0.016526769,-0.988741338,0.141655222
0.016650103,-0.988578379,0.142689645
0.016773437,-0.988414586,0.143723726
0.016896772,-0.988249779,0.144757435
0.017020106,-0.988083959,0.145790786
0.01714344,-0.987917364,0.14682366
0.017266774,-0.987749755,0.14785631
0.017390108,-0.987581253,0.148888588
0.017513442,-0.987411797,0.149920419
0.017636776,-0.987241447,0.150951937
0.01776011,-0.987070143,0.151983067
0.017883444,-0.986898065,0.15301396
0.018006778,-0.986724854,0.154044375
0.018130112,-0.986550987,0.155074477
0.018253446,-0.986375988,0.156104207
0.01837678,-0.986200333,0.157133624
0.018500114,-0.986023426,0.158162639
0.018623448,-0.985845983,0.15919134
0.018746782,-0.985667527,0.160219699
0.018870116,-0.985488176,0.16124779
0.01899345,-0.985307992,0.162275434
0.019116786,-0.985126793,0.163302839
0.01924012,-0.984944701,0.164329901
0.019363454,-0.984761894,0.165356591
0.019486788,-0.984578311,0.166382924
0.019610122,-0.984393537,0.167409033
0.019733456,-0.984208226,0.168434635
0.01985679,-0.984021902,0.169460118
0.019980124,-0.983834624,0.170485243
0.020103458,-0.983646572,0.171509951
0.020226792,-0.983457625,0.172534436
0.020350126,-0.983267963,0.173558697
0.02047346,-0.983077168,0.174582556
0.020596794,-0.982885659,0.175606117
0.020720128,-0.982693493,0.17662935
0.020843462,-0.982500255,0.177652389
0.020966796,-0.982306302,0.178675026
0.02109013,-0.982111394,0.179697469
0.021213464,-0.981915712,0.18071954
0.021336798,-0.981719136,0.181741387
0.021460132,-0.981521845,0.18276298
0.021583468,-0.98132354,0.183784276
0.021706802,-0.98112452,0.184805289
0.021830136,-0.980924606,0.185825959
